DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
1NT, N, D, 6           5   -0.56   -0.56   -0.00
3NT, S, D, 6           1   11.52   11.52    0.00    0.00
4H, N, D, 11           5   -0.42   -0.97    0.07    0.49
4H, N, D, 12          11   -1.25   -0.97    0.07   -0.34
4H, N, H, 11           1   -0.42   -0.97    0.14    0.42
4H, N, H, 12           1   -1.25   -0.97    0.14   -0.42
4H, S, D, 11          17   -0.42   -0.58    0.04    0.13
4H, S, D, 12           4   -1.25   -0.58    0.04   -0.71
5C, N, C, 12           1    0.58    1.05   -0.46    0.00
5C, N, D, 11           7    1.23    1.05    0.04    0.14
5C, N, D, 12           2    0.58    1.05    0.04   -0.51
5C, N, H, 12           1    0.58    1.05   -0.46    0.00
5C, N, S, 11           2    1.23    1.05    0.19    0.00
5H, N, C, 12           1   -1.25   -0.97   -0.27    0.00
5H, N, D, 11           3   -0.42   -0.97    0.07    0.49
5H, N, D, 12           1   -1.25   -0.97    0.07   -0.34
5H, N, S, 12           1   -1.25   -0.97   -0.75    0.48
5H, N, S, 13           1   -2.21   -0.97   -0.75   -0.48
5H, S, C, 12           1   -1.25   -0.58   -0.67    0.00
5H, S, D, 11          10   -0.42   -0.58    0.04    0.13
5H, S, D, 12           1   -1.25   -0.58    0.04   -0.71
5H, S, H, 12           1   -1.25   -0.58   -0.67    0.00
5H, S, S, 11           1   -0.42   -0.58    0.16    0.00
6C, N, S, 11           1   10.40    4.51    5.89    0.00
6H, N, D, 11           1   10.40   -3.17    0.83   12.74
6H, N, D, 12           1  -11.16   -3.17    0.83   -8.82
6H, S, D, 11           1   10.40    6.21    0.93    3.27

DECLARER, Board 7|11

Contract           Count Overall     Bid    Play
1D, S, C, 7            1   -8.82   -8.82   -0.00
2CXX, N, H, 9          1    7.26    7.26   -0.00
2H, S, C, 11           1   -5.96   -5.99    0.03
2H, S, H, 11           1   -5.96   -5.99    0.03
4H, N, C, 11           3    0.17    0.07    0.10
4H, N, D, 10           1   -0.81    0.07   -0.88
4H, N, D, 11           3    0.17    0.07    0.10
4H, N, H, 10           1   -0.81    0.07   -0.88
4H, N, S, 11           1    0.17    0.07    0.10
4H, N, S, 12           1    1.16    0.07    1.08
4H, S, C, 10           2   -0.81    0.19   -0.99
4H, S, C, 11          35    0.17    0.19   -0.02
4H, S, C, 12           1    1.16    0.19    0.97
4H, S, D, 11           5    0.17    0.19   -0.02
4H, S, H, 10           3   -0.81    0.19   -0.99
4H, S, H, 11          10    0.17    0.19   -0.02
4H, S, H, 12           2    1.16    0.19    0.97
4H, S, S, 11           1    0.17    0.19   -0.02
4H, S, S, 12           3    1.16    0.19    0.97
4S, N, S, 10           1   -0.81   -0.81   -0.00
5DX, W, C, 8           1   -2.04   -2.04   -0.00

DEFENDER, Board 7|11

Contract           Count Overall     Bid    Lead Restdef
1D, S, C, 7            1    8.82    8.82    0.00    0.00
2CXX, N, H, 9          1   -7.26   -7.26    0.00    0.00
2H, S, C, 11           1    5.96    5.99    0.00   -0.03
2H, S, H, 11           1    5.96    5.99    0.07   -0.10
4H, N, C, 11           3   -0.17   -0.07   -0.10    0.00
4H, N, D, 10           1    0.81   -0.07    0.15    0.73
4H, N, D, 11           3   -0.17   -0.07    0.15   -0.24
4H, N, H, 10           1    0.81   -0.07    0.88    0.00
4H, N, S, 11           1   -0.17   -0.07   -0.59    0.49
4H, N, S, 12           1   -1.16   -0.07   -0.59   -0.49
4H, S, C, 10           2    0.81   -0.19    0.04    0.95
4H, S, C, 11          35   -0.17   -0.19    0.04   -0.02
4H, S, C, 12           1   -1.16   -0.19    0.04   -1.01
4H, S, D, 11           5   -0.17   -0.19    0.02    0.00
4H, S, H, 10           3    0.81   -0.19    0.08    0.91
4H, S, H, 11          10   -0.17   -0.19    0.08   -0.06
4H, S, H, 12           2   -1.16   -0.19    0.08   -1.05
4H, S, S, 11           1   -0.17   -0.19   -0.72    0.74
4H, S, S, 12           3   -1.16   -0.19   -0.72   -0.25
4S, N, S, 10           1    0.81    0.81    0.00    0.00
5DX, W, C, 8           1    2.04    2.04    0.00    0.00

DECLARER, Board 7|12

Contract           Count Overall     Bid    Play
6S, W, C, 13           1  -10.71  -10.71   -0.00
6S, W, H, 13           2  -10.71  -10.71   -0.00
7NT, E, C, 13         10    0.43    0.43   -0.00
7NT, E, D, 13         32    0.43    0.43   -0.00
7NT, E, H, 13         10    0.43    0.43   -0.00
7NT, E, S, 13          1    0.43    0.43   -0.00
7NT, W, H, 13          1    0.43    0.43   -0.00
7S, E, C, 13           4    0.43    0.43   -0.00
7S, W, C, 13          14    0.43    0.43    0.00
7S, W, D, 13           1    0.43    0.43    0.00
7S, W, H, 13           1    0.43    0.43    0.00
7S, W, S, 13           1    0.43    0.43    0.00

DEFENDER, Board 7|12

Contract           Count Overall     Bid    Lead Restdef
6S, W, C, 13           1   10.71   10.71    0.00    0.00
6S, W, H, 13           2   10.71   10.71    0.00    0.00
7NT, E, C, 13         10   -0.43   -0.43    0.00   -0.00
7NT, E, D, 13         32   -0.43   -0.43    0.00    0.00
7NT, E, H, 13         10   -0.43   -0.43    0.00   -0.00
7NT, E, S, 13          1   -0.43   -0.43    0.00    0.00
7NT, W, H, 13          1   -0.43   -0.43    0.00    0.00
7S, E, C, 13           4   -0.43   -0.43    0.00    0.00
7S, W, C, 13          14   -0.43   -0.43   -0.00    0.00
7S, W, D, 13           1   -0.43   -0.43   -0.00    0.00
7S, W, H, 13           1   -0.43   -0.43   -0.00    0.00
7S, W, S, 13           1   -0.43   -0.43   -0.00    0.00

DECLARER, Board 7|13

Contract           Count Overall     Bid    Play
1NT, N, D, 9           1   -6.78   -6.23   -0.55
1NT, S, H, 10          1   -5.94   -5.94   -0.00
2H, N, D, 8            1   -7.22   -7.22   -0.00
3C, N, D, 11           4   -6.78   -6.78   -0.00
3C, S, D, 11           1   -6.78   -6.78   -0.00
3C, S, S, 11           1   -6.78   -6.78   -0.00
3D, E, C, 8            1    7.87    7.68    0.19
3D, E, H, 8            1    7.87    7.68    0.19
3NT, N, D, 10          1    3.56    3.47    0.08
3NT, N, D, 11          8    4.42    3.47    0.94
3NT, N, D, 9          12    2.88    3.47   -0.59
3NT, N, S, 10          1    3.56    3.47    0.08
4C, N, D, 11          11   -6.78   -6.78   -0.00
4D, E, C, 8            1    5.57    5.40    0.17
4D, W, C, 8            1    5.57    5.57   -0.00
4DX, E, C, 8           1   -0.45   -1.00    0.55
4DX, E, H, 8           3   -0.45   -1.00    0.55
5C, N, D, 11          17    2.88    2.88   -0.00
5C, N, H, 11           1    2.88    2.88   -0.00
5C, N, S, 11           2    2.88    2.88   -0.00
5CX, S, S, 11          1    6.19    6.19   -0.00
5DX, E, C, 7           1  -11.71   -7.42   -4.30
5DX, E, C, 8           4   -7.03   -7.42    0.39
6C, N, D, 11           1  -10.23  -10.23   -0.00
6C, S, D, 11           1  -10.23  -10.23   -0.00

DEFENDER, Board 7|13

Contract           Count Overall     Bid    Lead Restdef
1NT, N, D, 9           1    6.78    6.23    0.01    0.54
1NT, S, H, 10          1    5.94    5.94    0.00    0.00
2H, N, D, 8            1    7.22    7.22    0.00    0.00
3C, N, D, 11           4    6.78    6.78    0.00    0.00
3C, S, D, 11           1    6.78    6.78    0.00    0.00
3C, S, S, 11           1    6.78    6.78    0.00    0.00
3D, E, C, 8            1   -7.87   -7.68    0.10   -0.29
3D, E, H, 8            1   -7.87   -7.68   -0.19    0.00
3NT, N, D, 10          1   -3.56   -3.47    0.00   -0.09
3NT, N, D, 11          8   -4.42   -3.47    0.00   -0.94
3NT, N, D, 9          12   -2.88   -3.47    0.00    0.59
3NT, N, S, 10          1   -3.56   -3.47   -0.08    0.00
4C, N, D, 11          11    6.78    6.78    0.00    0.00
4D, E, C, 8            1   -5.57   -5.40    0.08   -0.25
4D, W, C, 8            1   -5.57   -5.57    0.00    0.00
4DX, E, C, 8           1    0.45    1.00    0.27   -0.82
4DX, E, H, 8           3    0.45    1.00   -0.55    0.00
5C, N, D, 11          17   -2.88   -2.88    0.00    0.00
5C, N, H, 11           1   -2.88   -2.88    0.00    0.00
5C, N, S, 11           2   -2.88   -2.88    0.00    0.00
5CX, S, S, 11          1   -6.19   -6.19    0.00    0.00
5DX, E, C, 7           1   11.71    7.42    0.20    4.10
5DX, E, C, 8           4    7.03    7.42    0.20   -0.59
6C, N, D, 11           1   10.23   10.23    0.00    0.00
6C, S, D, 11           1   10.23   10.23    0.00    0.00

DECLARER, Board 7|14

Contract           Count Overall     Bid    Play
3DXX, N, C, 8          1  -11.90  -11.90   -0.00
3NT, N, C, 11          2    0.16    0.50   -0.35
3NT, N, C, 12          1    1.14    0.50    0.64
3NT, N, D, 11          7    0.16    0.50   -0.35
3NT, N, D, 12          4    1.14    0.50    0.64
3NT, N, H, 12          1    1.14    0.50    0.64
3NT, N, S, 11          2    0.16    0.50   -0.35
3NT, S, C, 11         21    0.16    0.24   -0.09
3NT, S, C, 12         19    1.14    0.24    0.90
3NT, S, C, 9           6   -1.83    0.24   -2.07
3NT, S, D, 11          3    0.16    0.24   -0.09
3NT, S, S, 10          2   -0.84    0.24   -1.09
3NT, S, S, 11          4    0.16    0.24   -0.09
4H, S, C, 11           3    0.16    0.16   -0.00
4S, N, C, 11           1    0.16    0.16   -0.00
6H, S, C, 11           1  -10.70  -10.70   -0.00

DEFENDER, Board 7|14

Contract           Count Overall     Bid    Lead Restdef
3DXX, N, C, 8          1   11.90   11.90    0.00    0.00
3NT, N, C, 11          2   -0.16   -0.50    0.02    0.33
3NT, N, C, 12          1   -1.14   -0.50    0.02   -0.66
3NT, N, D, 11          7   -0.16   -0.50   -0.01    0.36
3NT, N, D, 12          4   -1.14   -0.50   -0.01   -0.63
3NT, N, H, 12          1   -1.14   -0.50   -0.64    0.00
3NT, N, S, 11          2   -0.16   -0.50    0.35    0.00
3NT, S, C, 11         21   -0.16   -0.24   -0.06    0.15
3NT, S, C, 12         19   -1.14   -0.24   -0.06   -0.84
3NT, S, C, 9           6    1.83   -0.24   -0.06    2.14
3NT, S, D, 11          3   -0.16   -0.24    0.09    0.00
3NT, S, S, 10          2    0.84   -0.24    0.42    0.67
3NT, S, S, 11          4   -0.16   -0.24    0.42   -0.33
4H, S, C, 11           3   -0.16   -0.16    0.00    0.00
4S, N, C, 11           1   -0.16   -0.16    0.00    0.00
6H, S, C, 11           1   10.70   10.70    0.00    0.00

DECLARER, Board 7|15

Contract           Count Overall     Bid    Play
1NT, W, S, 10          1    0.61   -0.04    0.65
2H, E, C, 10           5    0.61    0.10    0.51
2H, E, S, 9            1   -0.31    0.10   -0.42
2H, W, C, 10           1    0.61    0.21    0.40
2H, W, D, 10           1    0.61    0.21    0.40
2NT, E, C, 5           1   -6.78   -2.05   -4.72
2NT, W, C, 10          1    0.61   -0.98    1.59
2NT, W, C, 7           1   -4.62   -0.98   -3.64
2S, W, C, 10           1    0.61    0.15    0.46
3H, E, H, 10           1    0.61   -0.00    0.61
3H, E, S, 10           1    0.61   -0.00    0.61
3NT, E, C, 6           1   -6.78   -1.88   -4.90
3NT, E, C, 7           1   -5.96   -1.88   -4.08
3NT, E, C, 8           3   -4.62   -1.88   -2.75
3NT, E, D, 11          1    6.70   -1.88    8.58
3NT, E, D, 9           2    5.34   -1.88    7.21
3NT, W, C, 10          1    5.73    1.05    4.68
3NT, W, C, 11          1    6.70    1.05    5.65
3NT, W, C, 7           1   -5.96    1.05   -7.01
3NT, W, C, 8           1   -4.62    1.05   -5.67
4H, E, C, 10           9    5.73    1.01    4.72
4H, E, C, 8            1   -5.96    1.01   -6.97
4H, E, C, 9           10   -4.62    1.01   -5.63
4H, E, D, 10           1    5.73    1.01    4.72
4H, E, D, 11           2    6.69    1.01    5.68
4H, E, S, 10           4    5.73    1.01    4.72
4H, E, S, 11           2    6.69    1.01    5.68
4H, E, S, 7            1   -6.78    1.01   -7.79
4H, E, S, 9            8   -4.62    1.01   -5.63
4H, W, C, 10           1    5.73    1.02    4.70
4H, W, C, 11           1    6.69    1.02    5.66
4H, W, D, 9            1   -4.62    1.02   -5.65
4H, W, H, 10           3    5.73    1.02    4.70
4H, W, H, 9            5   -4.62    1.02   -5.65
4S, E, C, 10           1    5.73    5.73   -0.00
6S, W, S, 9            1   -6.78   -6.37   -0.41

DEFENDER, Board 7|15

Contract           Count Overall     Bid    Lead Restdef
1NT, W, S, 10          1   -0.61    0.04   -0.65    0.00
2H, E, C, 10           5   -0.61   -0.10   -0.07   -0.43
2H, E, S, 9            1    0.31   -0.10    0.26    0.16
2H, W, C, 10           1   -0.61   -0.21   -0.50    0.09
2H, W, D, 10           1   -0.61   -0.21    0.06   -0.46
2NT, E, C, 5           1    6.78    2.05    1.12    3.60
2NT, W, C, 10          1   -0.61    0.98    0.26   -1.85
2NT, W, C, 7           1    4.62    0.98    0.26    3.38
2S, W, C, 10           1   -0.61   -0.15   -0.46    0.00
3H, E, H, 10           1   -0.61    0.00   -0.61    0.00
3H, E, S, 10           1   -0.61    0.00    0.23   -0.84
3NT, E, C, 6           1    6.78    1.88    3.83    1.07
3NT, E, C, 7           1    5.96    1.88    3.83    0.25
3NT, E, C, 8           3    4.62    1.88    3.83   -1.09
3NT, E, D, 11          1   -6.70    1.88   -7.67   -0.91
3NT, E, D, 9           2   -5.34    1.88   -7.67    0.45
3NT, W, C, 10          1   -5.73   -1.05    0.78   -5.46
3NT, W, C, 11          1   -6.70   -1.05    0.78   -6.43
3NT, W, C, 7           1    5.96   -1.05    0.78    6.23
3NT, W, C, 8           1    4.62   -1.05    0.78    4.89
4H, E, C, 10           9   -5.73   -1.01   -0.11   -4.61
4H, E, C, 8            1    5.96   -1.01   -0.11    7.08
4H, E, C, 9           10    4.62   -1.01   -0.11    5.74
4H, E, D, 10           1   -5.73   -1.01   -5.36    0.64
4H, E, D, 11           2   -6.69   -1.01   -5.36   -0.32
4H, E, S, 10           4   -5.73   -1.01    1.38   -6.10
4H, E, S, 11           2   -6.69   -1.01    1.38   -7.06
4H, E, S, 7            1    6.78   -1.01    1.38    6.40
4H, E, S, 9            8    4.62   -1.01    1.38    4.25
4H, W, C, 10           1   -5.73   -1.02   -5.02    0.32
4H, W, C, 11           1   -6.69   -1.02   -5.02   -0.64
4H, W, D, 9            1    4.62   -1.02    0.47    5.18
4H, W, H, 10           3   -5.73   -1.02    1.77   -6.47
4H, W, H, 9            5    4.62   -1.02    1.77    3.88
4S, E, C, 10           1   -5.73   -5.73    0.00    0.00
6S, W, S, 9            1    6.78    6.37    0.41    0.00

DECLARER, Board 7|16

Contract           Count Overall     Bid    Play
1NT, E, H, 7           2    4.71    2.26    2.45
1NT, E, S, 5           1   -2.65    2.26   -4.91
1NT, W, D, 5           2   -2.65    1.61   -4.26
1NT, W, D, 6          12    0.05    1.61   -1.56
1NT, W, D, 8           1    5.60    1.61    3.99
1NT, W, H, 6           1    0.05    1.61   -1.56
1NT, W, H, 7           9    4.71    1.61    3.11
1NT, W, H, 8           3    5.60    1.61    3.99
1NT, W, S, 3           1   -6.82    1.61   -8.43
1NT, W, S, 4           1   -4.91    1.61   -6.52
1NT, W, S, 6           3    0.05    1.61   -1.56
1NT, W, S, 9           1    6.01    1.61    4.41
2C, E, H, 7            1    0.05   -0.33    0.39
2C, E, S, 7            1    0.05   -0.33    0.39
2C, W, C, 7            5    0.05    0.20   -0.15
2C, W, C, 8            1    4.71    0.20    4.51
2C, W, H, 7            2    0.05    0.20   -0.15
2C, W, S, 6            1   -2.65    0.20   -2.85
2C, W, S, 7            2    0.05    0.20   -0.15
2D, N, C, 9            2   -0.04   -0.04   -0.00
2D, W, C, 3            1   -8.68   -6.79   -1.88
2D, W, C, 5            1   -4.91   -6.79    1.88
2DX, N, C, 9           1    4.60    4.60   -0.00
2H, W, D, 6            1   -2.65   -2.65   -0.00
2S, S, C, 7            1   -3.78    0.82   -4.60
2S, S, D, 11           1    2.65    0.82    1.83
2S, S, H, 10           1    1.69    0.82    0.87
2S, S, S, 11           1    2.65    0.82    1.83
2S, S, S, 8            1   -0.04    0.82   -0.86
2S, S, S, 9            1    0.91    0.82    0.09
3C, E, C, 7            1   -2.65   -2.97    0.32
3C, E, H, 6            1   -4.91   -2.97   -1.94
3C, E, H, 7            3   -2.65   -2.97    0.32
3C, W, C, 7            1   -2.65   -2.62   -0.03
3C, W, H, 7            1   -2.65   -2.62   -0.03
3S, N, C, 9            1    0.91    0.91   -0.00
3S, S, H, 10           3    1.69    0.41    1.28
3S, S, H, 7            1   -4.81    0.41   -5.21
3S, S, H, 9            1    0.91    0.41    0.50
3S, S, S, 9            1    0.91    0.41    0.50
4S, S, H, 10           1    7.61    2.38    5.23
4S, S, S, 11           1    7.82    2.38    5.44

DEFENDER, Board 7|16

Contract           Count Overall     Bid    Lead Restdef
1NT, E, H, 7           2   -4.71   -2.26   -2.45    0.00
1NT, E, S, 5           1    2.65   -2.26    4.91    0.00
1NT, W, D, 5           2    2.65   -1.61    1.55    2.71
1NT, W, D, 6          12   -0.05   -1.61    1.55    0.01
1NT, W, D, 8           1   -5.60   -1.61    1.55   -5.54
1NT, W, H, 6           1   -0.05   -1.61   -2.95    4.51
1NT, W, H, 7           9   -4.71   -1.61   -2.95   -0.15
1NT, W, H, 8           3   -5.60   -1.61   -2.95   -1.04
1NT, W, S, 3           1    6.82   -1.61    2.53    5.89
1NT, W, S, 4           1    4.91   -1.61    2.53    3.98
1NT, W, S, 6           3   -0.05   -1.61    2.53   -0.98
1NT, W, S, 9           1   -6.01   -1.61    2.53   -6.94
2C, E, H, 7            1   -0.05    0.33    0.15   -0.54
2C, E, S, 7            1   -0.05    0.33   -0.39    0.00
2C, W, C, 7            5   -0.05   -0.20   -0.52    0.67
2C, W, C, 8            1   -4.71   -0.20   -0.52   -4.00
2C, W, H, 7            2   -0.05   -0.20    0.15    0.00
2C, W, S, 6            1    2.65   -0.20    1.05    1.80
2C, W, S, 7            2   -0.05   -0.20    1.05   -0.90
2D, N, C, 9            2    0.04    0.04    0.00    0.00
2D, W, C, 3            1    8.68    6.79    0.00    1.88
2D, W, C, 5            1    4.91    6.79    0.00   -1.88
2DX, N, C, 9           1   -4.60   -4.60    0.00    0.00
2H, W, D, 6            1    2.65    2.65    0.00    0.00
2S, S, C, 7            1    3.78   -0.82    4.60    0.00
2S, S, D, 11           1   -2.65   -0.82   -1.83    0.00
2S, S, H, 10           1   -1.69   -0.82    0.03   -0.89
2S, S, S, 11           1   -2.65   -0.82   -0.59   -1.23
2S, S, S, 8            1    0.04   -0.82   -0.59    1.45
2S, S, S, 9            1   -0.91   -0.82   -0.59    0.51
3C, E, C, 7            1    2.65    2.97   -0.32    0.00
3C, E, H, 6            1    4.91    2.97    0.13    1.81
3C, E, H, 7            3    2.65    2.97    0.13   -0.45
3C, W, C, 7            1    2.65    2.62   -0.35    0.39
3C, W, H, 7            1    2.65    2.62    0.03    0.00
3S, N, C, 9            1   -0.91   -0.91    0.00    0.00
3S, S, H, 10           3   -1.69   -0.41   -0.24   -1.04
3S, S, H, 7            1    4.81   -0.41   -0.24    5.45
3S, S, H, 9            1   -0.91   -0.41   -0.24   -0.26
3S, S, S, 9            1   -0.91   -0.41   -0.26   -0.24
4S, S, H, 10           1   -7.61   -2.38   -1.66   -3.57
4S, S, S, 11           1   -7.82   -2.38    1.73   -7.16
